"","Acanthocinus_griseus","Agrilus_angustulus","Agrilus_convexicollis","Agrilus_guerini","Agrilus_olivicolor","Agrilus_sulcicollis","Anaspis_frontalis","Anaspis_thoracica","Anobium_fulvicorne","Anthaxia_quadripunctata","Atomaria_pulchra","Bitoma_crenata","Callidium_aeneum","Chlorophorus_figuratus","Chrysobothris_affinis","Chrysobothris_igniventris","Cis_festivus","Clytus_arietis","Clytus_lama","Corticeus_linearis","Ernoporus_tiliae","Cryphalus_asperatus","Cryptolestes_duplicatus","Cryptolestes_corticinus","Crypturgus_cinereus","Crypturgus_hispidulus","Crypturgus_pusillus","Crypturgus_subcribrosus","Cyclorhipidion_bodoanum","Dasytes_aeratus","Dasytes_alpigradus","Dasytes_plumbeus","Dasytes_virens","Dorcatoma_substriata","Epuraea_marseuli","Ernobius_mollis","Pogonocherus_hispidus","Exocentrus_adspersus","Exocentrus_lusitanus","Glaphyra_umbellatarum","Grammoptera_abdominalis","Ptinomorphus_imperialis","Homalota_plana","Hylesinus_toranio","Hylobius_abietis","Placonotus_testaceus","Leiopus_linnei","Leiopus_nebulosus","Leptophloeus_juniperi","Leptusa_pulchella","Litargus_connexus","Magdalis_armigera","Magdalis_cerasi","Magdalis_ruficornis","Magdalis_violacea","Malachius_bipustulatus","Megatoma_undata","Molorchus_minor","Mycetophagus_atomarius","Nemosoma_elongatum","Obrium_brunneum","Obrium_cantharinum","Orthoperus_corticalis","Orthoperus_nigrescens","Phaenops_cyanea","Phloeocharis_subtilissima","Phloeopora_teres","Phloeopora_testacea","Dropephylla_ioptera","Poecilium_alni","Phymatodes_pusillus","Phymatodes_testaceus","Pityogenes_chalcographus","Pityophthorus_pityographus","Plagionotus_arcuatus","Pogonocherus_hispidulus","Ptilinus_pectinicornis","Ptinus_rufipes","Ptinus_sexpunctatus","Pyrrhidium_sanguineum","Rhagium_inquisitor","Rhaphitropis_marchica","Salpingus_planirostris","Salpingus_ruficollis","Rhizophagus_bipustulatus","Rhizophagus_depressus","Ropalopus_femoratus","Saperda_scalaris","Scolytus_intricatus","Scolytus_mali","Scolytus_multistriatus","Scolytus_pygmaeus","Scolytus_rugulosus","Silvanus_unidentatus","Stenostola_ferrea","Synchita_humeralis","Taphrorychus_bicolor","Taphrorychus_villifrons","Tetropium_gabrieli","Tetrops_praeustus","Thanasimus_formicarius","Tilloidea_unifasciata","Trypodendron_signatum","Xyleborinus_saxesenii","Xyleborinus_attenuatus","Anisandrus_dispar","Xylosandrus_germanus","Xyleborus_monographus","Xylechinus_pilosus","Xylostiba_bosnica","Xylotrechus_antilope","Rusticoclytus_pantherinus"
"AKA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0
"APF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,1134,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"ASP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"BEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"BIP",0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUC",0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DOU",0,0,0,0,0,0,0,0,0,133,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0
"ESC",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
